No.,Country,Source,Update frequency,Status,Year,Month,Value,Access Date,Publish Date,Link,Note
1,Thailand,Ministry of Commerce,Monthly,Real,[],2545,2566,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
2,Thailand,Ministry of Commerce,Monthly,Real,[],มกราคม,3.23,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
3,Thailand,Ministry of Commerce,Monthly,Real,[],กุมภาพันธ์,5.28,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
4,Thailand,Ministry of Commerce,Monthly,Real,[],มีนาคม,5.73,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
5,Thailand,Ministry of Commerce,Monthly,Real,[],เมษายน,4.65,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
6,Thailand,Ministry of Commerce,Monthly,Real,[],พฤษภาคม,7.10,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
7,Thailand,Ministry of Commerce,Monthly,Real,[],มิถุนายน,7.66,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
8,Thailand,Ministry of Commerce,Monthly,Real,[],กรกฎาคม,7.61,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
9,Thailand,Ministry of Commerce,Monthly,Real,[],สิงหาคม,7.86,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
10,Thailand,Ministry of Commerce,Monthly,Real,[],กันยายน,6.41,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
11,Thailand,Ministry of Commerce,Monthly,Real,[],ตุลาคม,5.98,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
12,Thailand,Ministry of Commerce,Monthly,Real,[],พฤศจิกายน,5.55,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
13,Thailand,Ministry of Commerce,Monthly,Real,[],ธันวาคม,5.89,28/09/23,,http://www.indexpr.moc.go.th/price_present/cpi/stat/others/report_core1.asp?tb=cpig_index_country&code=93&c_index=a.change_year,abc
